Company Name,Street Address,Street Address 2,City,State,Postal Code,Phone Number,Website URL,About Us,Paid Preparer Firm Name,Annual Revenue,Total Money Raised,Total Expenses,Number of Employees,Company Domain Name,Type
Health Improvement Partnership of Santa Cruz County Inc,343 Soquel Ave,,Santa Cruz,CA,95062,831-305-1060,WWW.HIPSCC.ORG,"S20 (Community, Neighborhood Development, Improvement)",HAYASHI WAYLAND Accounting & Consulting,"$2,148,818.00","$135,964.00","$1,592,191.00",13,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x0000000102ca3e68 chromedriver + 5090920\n1   chromedriver                        0x0000000102c9abd3 chromedriver + 5053395\n2   chromedriver                        0x0000000102836527 chromedriver + 447783\n3   chromedriver                        0x0000000102885339 chromedriver + 770873\n4   chromedriver                        0x00000001028854f1 chromedriver + 771313\n5   chromedriver                        0x00000001028cb304 chromedriver + 1057540\n6   chromedriver                        0x00000001028ac68d chromedriver + 931469\n7   chromedriver                        0x00000001028c86e1 chromedriver + 1046241\n8   chromedriver                        0x00000001028ac433 chromedriver + 930867\n9   chromedriver                        0x0000000102877042 chromedriver + 712770\n10  chromedriver                        0x000000010287826e chromedriver + 717422\n11  chromedriver                        0x0000000102c653c9 chromedriver + 4834249\n12  chromedriver                        0x0000000102c6a56d chromedriver + 4855149\n13  chromedriver                        0x0000000102c71502 chromedriver + 4883714\n14  chromedriver                        0x0000000102c6b29d chromedriver + 4858525\n15  chromedriver                        0x0000000102c3d0fc chromedriver + 4669692\n16  chromedriver                        0x0000000102c89c68 chromedriver + 4983912\n17  chromedriver                        0x0000000102c89e20 chromedriver + 4984352\n18  chromedriver                        0x0000000102c9a80e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
A Family Affair Bridges Inc,6630 S LAND PARK DR,,SACRAMENTO,CA,95831,,N/A,P80 (Services to Promote the Independence of Specific Populations),A Financials LLC,"$2,222,676.00",,"$1,543,254.00",42,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x000000010c0d4e68 chromedriver + 5090920\n1   chromedriver                        0x000000010c0cbbd3 chromedriver + 5053395\n2   chromedriver                        0x000000010bc67527 chromedriver + 447783\n3   chromedriver                        0x000000010bcb6339 chromedriver + 770873\n4   chromedriver                        0x000000010bcb64f1 chromedriver + 771313\n5   chromedriver                        0x000000010bcfc304 chromedriver + 1057540\n6   chromedriver                        0x000000010bcdd68d chromedriver + 931469\n7   chromedriver                        0x000000010bcf96e1 chromedriver + 1046241\n8   chromedriver                        0x000000010bcdd433 chromedriver + 930867\n9   chromedriver                        0x000000010bca8042 chromedriver + 712770\n10  chromedriver                        0x000000010bca926e chromedriver + 717422\n11  chromedriver                        0x000000010c0963c9 chromedriver + 4834249\n12  chromedriver                        0x000000010c09b56d chromedriver + 4855149\n13  chromedriver                        0x000000010c0a2502 chromedriver + 4883714\n14  chromedriver                        0x000000010c09c29d chromedriver + 4858525\n15  chromedriver                        0x000000010c06e0fc chromedriver + 4669692\n16  chromedriver                        0x000000010c0bac68 chromedriver + 4983912\n17  chromedriver                        0x000000010c0bae20 chromedriver + 4984352\n18  chromedriver                        0x000000010c0cb80e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
Choix Vocational Services,204 S Atlantic Blvd,,Los Angeles,CA,90022,,N/A,B99 (Education N.E.C.),JBOTE & ASSOCIATES INC,"$1,662,664.00","$205,455.00","$1,542,336.00",0,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x0000000102218e68 chromedriver + 5090920\n1   chromedriver                        0x000000010220fbd3 chromedriver + 5053395\n2   chromedriver                        0x0000000101dab527 chromedriver + 447783\n3   chromedriver                        0x0000000101dfa339 chromedriver + 770873\n4   chromedriver                        0x0000000101dfa4f1 chromedriver + 771313\n5   chromedriver                        0x0000000101e40304 chromedriver + 1057540\n6   chromedriver                        0x0000000101e2168d chromedriver + 931469\n7   chromedriver                        0x0000000101e3d6e1 chromedriver + 1046241\n8   chromedriver                        0x0000000101e21433 chromedriver + 930867\n9   chromedriver                        0x0000000101dec042 chromedriver + 712770\n10  chromedriver                        0x0000000101ded26e chromedriver + 717422\n11  chromedriver                        0x00000001021da3c9 chromedriver + 4834249\n12  chromedriver                        0x00000001021df56d chromedriver + 4855149\n13  chromedriver                        0x00000001021e6502 chromedriver + 4883714\n14  chromedriver                        0x00000001021e029d chromedriver + 4858525\n15  chromedriver                        0x00000001021b20fc chromedriver + 4669692\n16  chromedriver                        0x00000001021fec68 chromedriver + 4983912\n17  chromedriver                        0x00000001021fee20 chromedriver + 4984352\n18  chromedriver                        0x000000010220f80e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
Vedic Educational and Devotional Academy,475 Los Coches St,,Milpitas,CA,95035,408-679-2796,www.siliconvalleytemple.net,X70 (Hindu),NEEKA CORPORATION,"$1,856,196.00","$72,441.00","$1,399,293.00",12,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x000000010a700e68 chromedriver + 5090920\n1   chromedriver                        0x000000010a6f7bd3 chromedriver + 5053395\n2   chromedriver                        0x000000010a293527 chromedriver + 447783\n3   chromedriver                        0x000000010a2e2339 chromedriver + 770873\n4   chromedriver                        0x000000010a2e24f1 chromedriver + 771313\n5   chromedriver                        0x000000010a328304 chromedriver + 1057540\n6   chromedriver                        0x000000010a30968d chromedriver + 931469\n7   chromedriver                        0x000000010a3256e1 chromedriver + 1046241\n8   chromedriver                        0x000000010a309433 chromedriver + 930867\n9   chromedriver                        0x000000010a2d4042 chromedriver + 712770\n10  chromedriver                        0x000000010a2d526e chromedriver + 717422\n11  chromedriver                        0x000000010a6c23c9 chromedriver + 4834249\n12  chromedriver                        0x000000010a6c756d chromedriver + 4855149\n13  chromedriver                        0x000000010a6ce502 chromedriver + 4883714\n14  chromedriver                        0x000000010a6c829d chromedriver + 4858525\n15  chromedriver                        0x000000010a69a0fc chromedriver + 4669692\n16  chromedriver                        0x000000010a6e6c68 chromedriver + 4983912\n17  chromedriver                        0x000000010a6e6e20 chromedriver + 4984352\n18  chromedriver                        0x000000010a6f780e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
YES Nature to Neighborhoods,3029 Macdonald Ave,,Richmond,CA,94804,(510) 232-3032,www.yesfamilies.org,O99 (Other Youth Development N.E.C.),Crosby & Kaneda CPAs LLP,"$2,475,570.00","$115,619.00","$1,555,812.00",11,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x00000001082c1e68 chromedriver + 5090920\n1   chromedriver                        0x00000001082b8bd3 chromedriver + 5053395\n2   chromedriver                        0x0000000107e54527 chromedriver + 447783\n3   chromedriver                        0x0000000107ea3339 chromedriver + 770873\n4   chromedriver                        0x0000000107ea34f1 chromedriver + 771313\n5   chromedriver                        0x0000000107ee9304 chromedriver + 1057540\n6   chromedriver                        0x0000000107eca68d chromedriver + 931469\n7   chromedriver                        0x0000000107ee66e1 chromedriver + 1046241\n8   chromedriver                        0x0000000107eca433 chromedriver + 930867\n9   chromedriver                        0x0000000107e95042 chromedriver + 712770\n10  chromedriver                        0x0000000107e9626e chromedriver + 717422\n11  chromedriver                        0x00000001082833c9 chromedriver + 4834249\n12  chromedriver                        0x000000010828856d chromedriver + 4855149\n13  chromedriver                        0x000000010828f502 chromedriver + 4883714\n14  chromedriver                        0x000000010828929d chromedriver + 4858525\n15  chromedriver                        0x000000010825b0fc chromedriver + 4669692\n16  chromedriver                        0x00000001082a7c68 chromedriver + 4983912\n17  chromedriver                        0x00000001082a7e20 chromedriver + 4984352\n18  chromedriver                        0x00000001082b880e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
Sonoma Overnight Support Inc,151 1st St W,,Sonoma,CA,95476,(415) 613-9064,https://www.sonomaovernightsupport.org,L41 (Temporary Shelter For the Homeless),UNICOM TAX SERVICES,"$1,359,932.00","$80,234.00","$1,388,392.00",0,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x00000001086d6e68 chromedriver + 5090920\n1   chromedriver                        0x00000001086cdbd3 chromedriver + 5053395\n2   chromedriver                        0x0000000108269527 chromedriver + 447783\n3   chromedriver                        0x00000001082b8339 chromedriver + 770873\n4   chromedriver                        0x00000001082b84f1 chromedriver + 771313\n5   chromedriver                        0x00000001082fe304 chromedriver + 1057540\n6   chromedriver                        0x00000001082df68d chromedriver + 931469\n7   chromedriver                        0x00000001082fb6e1 chromedriver + 1046241\n8   chromedriver                        0x00000001082df433 chromedriver + 930867\n9   chromedriver                        0x00000001082aa042 chromedriver + 712770\n10  chromedriver                        0x00000001082ab26e chromedriver + 717422\n11  chromedriver                        0x00000001086983c9 chromedriver + 4834249\n12  chromedriver                        0x000000010869d56d chromedriver + 4855149\n13  chromedriver                        0x00000001086a4502 chromedriver + 4883714\n14  chromedriver                        0x000000010869e29d chromedriver + 4858525\n15  chromedriver                        0x00000001086700fc chromedriver + 4669692\n16  chromedriver                        0x00000001086bcc68 chromedriver + 4983912\n17  chromedriver                        0x00000001086bce20 chromedriver + 4984352\n18  chromedriver                        0x00000001086cd80e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
CANYON CREST ACADEMY FOUNDATION INC,5951 Village Center Loop Rd,,San Diego,CA,92130,(858) 350-0253,www.canyoncrestfoundation.org,B11 (Single Organization Support),GREGORY V VILLARD CPA,"$1,723,765.00","$33,670.00","$1,427,791.00",2,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x0000000107d65e68 chromedriver + 5090920\n1   chromedriver                        0x0000000107d5cbd3 chromedriver + 5053395\n2   chromedriver                        0x00000001078f8527 chromedriver + 447783\n3   chromedriver                        0x0000000107947339 chromedriver + 770873\n4   chromedriver                        0x00000001079474f1 chromedriver + 771313\n5   chromedriver                        0x000000010798d304 chromedriver + 1057540\n6   chromedriver                        0x000000010796e68d chromedriver + 931469\n7   chromedriver                        0x000000010798a6e1 chromedriver + 1046241\n8   chromedriver                        0x000000010796e433 chromedriver + 930867\n9   chromedriver                        0x0000000107939042 chromedriver + 712770\n10  chromedriver                        0x000000010793a26e chromedriver + 717422\n11  chromedriver                        0x0000000107d273c9 chromedriver + 4834249\n12  chromedriver                        0x0000000107d2c56d chromedriver + 4855149\n13  chromedriver                        0x0000000107d33502 chromedriver + 4883714\n14  chromedriver                        0x0000000107d2d29d chromedriver + 4858525\n15  chromedriver                        0x0000000107cff0fc chromedriver + 4669692\n16  chromedriver                        0x0000000107d4bc68 chromedriver + 4983912\n17  chromedriver                        0x0000000107d4be20 chromedriver + 4984352\n18  chromedriver                        0x0000000107d5c80e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
PARTNERSHIP FOR CHILDREN AND YOUTH,PO Box 2847,,El Cerrito,CA,94530,(510) 830-4200,http://partnerforchildren.org,B01 (Alliance/Advocacy Organizations),Vasin Heyn & Company,"$2,271,841.00",,"$1,564,088.00",8,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x000000010631ee68 chromedriver + 5090920\n1   chromedriver                        0x0000000106315bd3 chromedriver + 5053395\n2   chromedriver                        0x0000000105eb1527 chromedriver + 447783\n3   chromedriver                        0x0000000105f00339 chromedriver + 770873\n4   chromedriver                        0x0000000105f004f1 chromedriver + 771313\n5   chromedriver                        0x0000000105f46304 chromedriver + 1057540\n6   chromedriver                        0x0000000105f2768d chromedriver + 931469\n7   chromedriver                        0x0000000105f436e1 chromedriver + 1046241\n8   chromedriver                        0x0000000105f27433 chromedriver + 930867\n9   chromedriver                        0x0000000105ef2042 chromedriver + 712770\n10  chromedriver                        0x0000000105ef326e chromedriver + 717422\n11  chromedriver                        0x00000001062e03c9 chromedriver + 4834249\n12  chromedriver                        0x00000001062e556d chromedriver + 4855149\n13  chromedriver                        0x00000001062ec502 chromedriver + 4883714\n14  chromedriver                        0x00000001062e629d chromedriver + 4858525\n15  chromedriver                        0x00000001062b80fc chromedriver + 4669692\n16  chromedriver                        0x0000000106304c68 chromedriver + 4983912\n17  chromedriver                        0x0000000106304e20 chromedriver + 4984352\n18  chromedriver                        0x000000010631580e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
URBAN COMMUNITY ACTION PROJECTS,2880 Hulen Pl,,Riverside,CA,92507,(951) 786-9048,www.healthtohope.com,E21 (Community Health Systems),ONISKO & SCHOLZ LLP,"$786,327.00","$759,170.00","$1,409,703.00",3,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x000000010ec99e68 chromedriver + 5090920\n1   chromedriver                        0x000000010ec90bd3 chromedriver + 5053395\n2   chromedriver                        0x000000010e82c527 chromedriver + 447783\n3   chromedriver                        0x000000010e87b339 chromedriver + 770873\n4   chromedriver                        0x000000010e87b4f1 chromedriver + 771313\n5   chromedriver                        0x000000010e8c1304 chromedriver + 1057540\n6   chromedriver                        0x000000010e8a268d chromedriver + 931469\n7   chromedriver                        0x000000010e8be6e1 chromedriver + 1046241\n8   chromedriver                        0x000000010e8a2433 chromedriver + 930867\n9   chromedriver                        0x000000010e86d042 chromedriver + 712770\n10  chromedriver                        0x000000010e86e26e chromedriver + 717422\n11  chromedriver                        0x000000010ec5b3c9 chromedriver + 4834249\n12  chromedriver                        0x000000010ec6056d chromedriver + 4855149\n13  chromedriver                        0x000000010ec67502 chromedriver + 4883714\n14  chromedriver                        0x000000010ec6129d chromedriver + 4858525\n15  chromedriver                        0x000000010ec330fc chromedriver + 4669692\n16  chromedriver                        0x000000010ec7fc68 chromedriver + 4983912\n17  chromedriver                        0x000000010ec7fe20 chromedriver + 4984352\n18  chromedriver                        0x000000010ec9080e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
Real Estate Trust at Silicon Valley Community Foundation,2440 W El Camino Real Ste 300,,Mountain View,CA,94040,650-450-5400,www.giverealestate.org,T31 (Community Foundations),CROWE LLP,"$1,326,966.00",,"$1,552,907.00",0,{'error': 'Message: \nStacktrace:\n0   chromedriver                        0x00000001035aee68 chromedriver + 5090920\n1   chromedriver                        0x00000001035a5bd3 chromedriver + 5053395\n2   chromedriver                        0x0000000103141527 chromedriver + 447783\n3   chromedriver                        0x0000000103190339 chromedriver + 770873\n4   chromedriver                        0x00000001031904f1 chromedriver + 771313\n5   chromedriver                        0x00000001031d6304 chromedriver + 1057540\n6   chromedriver                        0x00000001031b768d chromedriver + 931469\n7   chromedriver                        0x00000001031d36e1 chromedriver + 1046241\n8   chromedriver                        0x00000001031b7433 chromedriver + 930867\n9   chromedriver                        0x0000000103182042 chromedriver + 712770\n10  chromedriver                        0x000000010318326e chromedriver + 717422\n11  chromedriver                        0x00000001035703c9 chromedriver + 4834249\n12  chromedriver                        0x000000010357556d chromedriver + 4855149\n13  chromedriver                        0x000000010357c502 chromedriver + 4883714\n14  chromedriver                        0x000000010357629d chromedriver + 4858525\n15  chromedriver                        0x00000001035480fc chromedriver + 4669692\n16  chromedriver                        0x0000000103594c68 chromedriver + 4983912\n17  chromedriver                        0x0000000103594e20 chromedriver + 4984352\n18  chromedriver                        0x00000001035a580e chromedriver + 5052430\n19  libsystem_pthread.dylib             0x00007ff80e940202 _pthread_start + 99\n20  libsystem_pthread.dylib             0x00007ff80e93bbab thread_start + 15\n'},DOMESTIC - Small
